site_id,site_name_short,water_body,date,type,do_mg,sal,tss,n_total,p_po4,p_total
1911,Corio,Port Phillip  Bay,1985-10-16,surface,7.9,33.0,19.0,190.0,75.0,98.0
1991,Hobsons Bay,Port Phillip  Bay,1985-10-16,surface,7.9,32.0,14.0,200.0,69.0,96.0
1229,Central,Port Phillip  Bay,1986-01-08,surface,7.3,34.0,12.0,190.0,62.0,81.0
1991,Hobsons Bay,Port Phillip  Bay,1986-01-08,surface,7.4,30.0,14.0,310.0,85.0,120.0
1229,Central,Port Phillip  Bay,1986-02-03,surface,7.3,30.0,11.0,170.0,60.0,78.0
1911,Corio,Port Phillip  Bay,1986-02-03,surface,7.2,31.0,12.0,230.0,79.0,120.0
1991,Hobsons Bay,Port Phillip  Bay,1986-02-03,surface,7.3,31.0,12.0,180.0,62.0,82.0
1229,Central,Port Phillip  Bay,1986-02-10,surface,7.0,28.0,12.0,190.0,58.0,89.0
1911,Corio,Port Phillip  Bay,1986-02-10,surface,7.0,28.0,14.0,270.0,78.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1986-02-10,surface,7.1,29.0,14.0,200.0,76.0,110.0
1229,Central,Port Phillip  Bay,1986-03-03,surface,7.0,32.0,3.2,210.0,63.0,91.0
1911,Corio,Port Phillip  Bay,1986-03-03,surface,6.9,33.0,2.5,250.0,78.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1986-03-03,surface,6.9,32.0,3.0,230.0,83.0,120.0
1229,Central,Port Phillip  Bay,1986-03-20,surface,7.4,36.0,12.0,150.0,64.0,71.0
1911,Corio,Port Phillip  Bay,1986-03-20,surface,7.3,30.0,13.0,200.0,82.0,91.0
1991,Hobsons Bay,Port Phillip  Bay,1986-03-20,surface,7.4,29.0,12.0,190.0,72.0,83.0
1911,Corio,Port Phillip  Bay,1986-04-07,surface,6.9,30.0,16.0,180.0,89.0,99.0
1991,Hobsons Bay,Port Phillip  Bay,1986-04-07,surface,7.1,28.0,21.0,200.0,82.0,84.0
1911,Corio,Port Phillip  Bay,1986-04-23,surface,7.6,34.0,11.0,210.0,91.0,100.0
1229,Central,Port Phillip  Bay,1986-04-28,surface,7.7,36.0,14.0,150.0,52.0,75.0
1911,Corio,Port Phillip  Bay,1986-04-30,surface,8.0,33.0,16.0,220.0,86.0,94.0
1991,Hobsons Bay,Port Phillip  Bay,1986-04-30,surface,8.1,33.0,18.0,190.0,76.0,95.0
1229,Central,Port Phillip  Bay,1986-05-14,surface,7.3,33.0,2.4,170.0,61.0,70.0
1911,Corio,Port Phillip  Bay,1986-05-14,surface,7.8,34.0,2.5,220.0,93.0,93.0
1991,Hobsons Bay,Port Phillip  Bay,1986-05-14,surface,7.6,34.0,2.4,180.0,69.0,85.0
1229,Central,Port Phillip  Bay,1986-06-12,surface,7.7,35.0,20.0,140.0,57.0,65.0
1911,Corio,Port Phillip  Bay,1986-06-12,surface,8.2,34.0,16.0,210.0,84.0,91.0
1991,Hobsons Bay,Port Phillip  Bay,1986-06-12,surface,8.2,33.0,19.0,220.0,62.0,88.0
1229,Central,Port Phillip  Bay,1986-08-04,surface,9.3,36.0,5.0,180.0,61.0,74.0
1911,Corio,Port Phillip  Bay,1986-08-04,surface,8.8,36.0,3.1,210.0,84.0,97.0
1991,Hobsons Bay,Port Phillip  Bay,1986-08-04,surface,9.2,35.0,3.7,180.0,61.0,72.0
1229,Central,Port Phillip  Bay,1986-08-25,surface,9.6,36.0,11.0,160.0,51.0,63.0
1911,Corio,Port Phillip  Bay,1986-08-25,surface,9.1,36.0,2.9,220.0,86.0,93.0
1991,Hobsons Bay,Port Phillip  Bay,1986-08-25,surface,9.2,35.0,13.0,180.0,59.0,72.0
1229,Central,Port Phillip  Bay,1986-09-23,surface,8.4,36.0,7.9,140.0,120.0,140.0
1911,Corio,Port Phillip  Bay,1986-09-23,surface,8.1,36.0,12.0,190.0,190.0,220.0
1991,Hobsons Bay,Port Phillip  Bay,1986-09-23,surface,8.6,35.0,11.0,150.0,140.0,160.0
1229,Central,Port Phillip  Bay,1986-11-25,surface,7.8,36.0,9.4,180.0,55.0,64.0
1911,Corio,Port Phillip  Bay,1986-11-25,surface,7.7,36.0,10.0,240.0,92.0,120.0
1991,Hobsons Bay,Port Phillip  Bay,1986-11-25,surface,7.6,34.0,14.0,220.0,60.0,87.0
1229,Central,Port Phillip  Bay,1987-03-17,surface,7.9,36.0,2.6,190.0,65.0,91.0
1911,Corio,Port Phillip  Bay,1987-03-17,surface,8.3,37.0,2.9,230.0,83.0,100.0
1991,Hobsons Bay,Port Phillip  Bay,1987-03-17,surface,7.8,36.0,3.1,200.0,73.0,97.0
1229,Central,Port Phillip  Bay,1987-06-24,surface,8.6,35.0,2.3,160.0,63.0,72.0
1911,Corio,Port Phillip  Bay,1987-06-24,surface,,,,,0.0,0.0
1991,Hobsons Bay,Port Phillip  Bay,1987-06-24,surface,8.5,34.0,3.2,210.0,70.0,77.0
1229,Central,Port Phillip  Bay,1987-07-23,surface,9.2,,13.0,200.0,66.0,81.0
1991,Hobsons Bay,Port Phillip  Bay,1987-07-23,surface,9.6,10.0,17.0,240.0,84.0,83.0
1229,Central,Port Phillip  Bay,1987-08-12,surface,11.0,34.0,3.6,210.0,70.0,88.0
1991,Hobsons Bay,Port Phillip  Bay,1987-08-12,surface,10.0,21.0,9.8,850.0,62.0,88.0
1229,Central,Port Phillip  Bay,1987-10-14,surface,8.1,34.0,4.0,700.0,69.0,83.0
1991,Hobsons Bay,Port Phillip  Bay,1987-10-14,surface,8.5,35.0,4.4,420.0,120.0,150.0
1229,Central,Port Phillip  Bay,1987-10-27,surface,8.5,34.0,4.2,500.0,66.0,87.0
1991,Hobsons Bay,Port Phillip  Bay,1987-10-27,surface,8.2,35.0,7.0,260.0,76.0,76.0
1229,Central,Port Phillip  Bay,1988-06-16,surface,8.9,34.0,,,76.0,83.0
1911,Corio,Port Phillip  Bay,1988-06-16,surface,8.4,34.0,,,120.0,120.0
1991,Hobsons Bay,Port Phillip  Bay,1988-06-16,surface,8.7,34.0,,,79.0,90.0
1229,Central,Port Phillip  Bay,1988-08-22,surface,9.1,35.0,,160.0,65.0,78.0
1911,Corio,Port Phillip  Bay,1988-08-22,surface,8.9,35.0,,220.0,100.0,120.0
1991,Hobsons Bay,Port Phillip  Bay,1988-08-22,surface,9.2,34.0,,200.0,68.0,77.0
1229,Central,Port Phillip  Bay,1988-09-21,surface,8.4,35.0,,160.0,62.0,78.0
1911,Corio,Port Phillip  Bay,1988-09-21,surface,8.3,35.0,,220.0,91.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1988-09-21,surface,8.1,31.0,,420.0,120.0,160.0
1229,Central,Port Phillip  Bay,1988-10-21,surface,7.1,35.0,2.1,150.0,56.0,66.0
1911,Corio,Port Phillip  Bay,1988-10-21,surface,5.8,35.0,1.8,210.0,100.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1988-10-21,surface,6.7,33.0,2.8,230.0,86.0,110.0
1911,Corio,Port Phillip  Bay,1988-11-14,surface,7.6,36.0,5.5,250.0,100.0,120.0
1991,Hobsons Bay,Port Phillip  Bay,1988-11-14,surface,7.7,35.0,4.2,180.0,93.0,110.0
1229,Central,Port Phillip  Bay,1988-11-21,surface,8.1,35.0,12.0,160.0,67.0,74.0
1229,Central,Port Phillip  Bay,1988-12-19,surface,7.1,35.0,12.0,170.0,70.0,84.0
1911,Corio,Port Phillip  Bay,1988-12-19,surface,7.4,35.0,12.0,210.0,82.0,100.0
1991,Hobsons Bay,Port Phillip  Bay,1988-12-19,surface,7.3,34.0,4.0,230.0,110.0,140.0
1229,Central,Port Phillip  Bay,1989-01-25,surface,5.9,35.0,4.4,170.0,73.0,89.0
1911,Corio,Port Phillip  Bay,1989-01-25,surface,7.3,36.0,3.0,200.0,88.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1989-01-25,surface,6.8,32.0,5.4,270.0,98.0,130.0
1229,Central,Port Phillip  Bay,1989-02-27,surface,7.5,35.0,2.7,170.0,75.0,73.0
1911,Corio,Port Phillip  Bay,1989-02-27,surface,7.6,36.0,3.5,200.0,85.0,100.0
1991,Hobsons Bay,Port Phillip  Bay,1989-02-27,surface,7.7,34.0,6.1,230.0,98.0,120.0
1229,Central,Port Phillip  Bay,1989-03-14,surface,6.7,35.0,2.4,160.0,64.0,75.0
1911,Corio,Port Phillip  Bay,1989-03-14,surface,6.9,36.0,3.2,230.0,99.0,120.0
1991,Hobsons Bay,Port Phillip  Bay,1989-03-14,surface,7.2,34.0,5.9,270.0,94.0,130.0
1229,Central,Port Phillip  Bay,1989-04-19,surface,7.9,36.0,5.4,160.0,75.0,88.0
1911,Corio,Port Phillip  Bay,1989-04-19,surface,7.6,36.0,2.0,240.0,130.0,130.0
1991,Hobsons Bay,Port Phillip  Bay,1989-04-19,surface,7.9,35.0,2.3,170.0,91.0,95.0
1229,Central,Port Phillip  Bay,1989-05-24,surface,7.7,35.0,1.9,140.0,72.0,76.0
1911,Corio,Port Phillip  Bay,1989-05-24,surface,7.8,36.0,3.1,250.0,160.0,140.0
1991,Hobsons Bay,Port Phillip  Bay,1989-05-24,surface,7.6,34.0,3.0,240.0,83.0,110.0
1229,Central,Port Phillip  Bay,1989-06-21,surface,8.5,35.0,2.8,130.0,68.0,85.0
1911,Corio,Port Phillip  Bay,1989-06-21,surface,8.4,35.0,2.1,230.0,120.0,130.0
1991,Hobsons Bay,Port Phillip  Bay,1989-06-21,surface,8.3,34.0,8.5,210.0,71.0,85.0
1229,Central,Port Phillip  Bay,1989-09-15,surface,8.5,34.0,2.5,170.0,69.0,75.0
1911,Corio,Port Phillip  Bay,1989-09-15,surface,8.7,34.0,2.0,300.0,95.0,120.0
1991,Hobsons Bay,Port Phillip  Bay,1989-09-15,surface,8.7,34.0,3.6,190.0,76.0,91.0
1229,Central,Port Phillip  Bay,1989-09-27,surface,8.5,34.0,2.7,170.0,67.0,81.0
1911,Corio,Port Phillip  Bay,1989-09-27,surface,8.2,34.0,1.7,220.0,95.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1989-09-27,surface,9.0,31.0,3.9,260.0,65.0,85.0
1229,Central,Port Phillip  Bay,1989-12-13,surface,7.4,,2.3,160.0,57.0,83.0
