site_id,site_name_short,water_body,date,type,do_mg,sal,tss,n_total,p_po4,p_total
1229,Central,Port Phillip  Bay,1999-10-13,surface,8.1,36.0,2.7,140.0,62.0,69.0
1911,Corio,Port Phillip  Bay,1999-10-13,surface,8.0,36.0,2.0,220.0,110.0,130.0
1991,Hobsons Bay,Port Phillip  Bay,1999-10-13,surface,8.0,34.0,3.8,220.0,74.0,94.0
1229,Central,Port Phillip  Bay,1999-11-26,surface,9.2,36.0,1.2,160.0,77.0,82.0
1991,Hobsons Bay,Port Phillip  Bay,1999-11-26,surface,9.3,35.0,5.9,200.0,86.0,100.0
369,Long Reef,Port Phillip  Bay,1999-11-28,surface,7.5,36.0,7.4,220.0,87.0,98.0
1911,Corio,Port Phillip  Bay,1999-11-28,surface,7.9,37.0,3.9,230.0,110.0,120.0
369,Long Reef,Port Phillip  Bay,1999-12-20,surface,7.6,37.0,4.4,210.0,100.0,120.0
1229,Central,Port Phillip  Bay,1999-12-20,surface,7.5,36.0,3.7,160.0,72.0,87.0
1911,Corio,Port Phillip  Bay,1999-12-20,surface,7.5,37.0,4.2,240.0,100.0,120.0
1991,Hobsons Bay,Port Phillip  Bay,1999-12-20,surface,7.8,35.0,4.3,220.0,79.0,100.0
369,Long Reef,Port Phillip  Bay,2000-01-31,surface,7.7,34.0,3.7,1100.0,440.0,870.0
1229,Central,Port Phillip  Bay,2000-01-31,surface,7.2,36.0,6.0,170.0,73.0,88.0
1911,Corio,Port Phillip  Bay,2000-01-31,surface,7.5,37.0,1.9,200.0,87.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2000-01-31,surface,7.9,33.0,4.3,330.0,53.0,97.0
369,Long Reef,Port Phillip  Bay,2000-02-24,surface,7.0,36.0,2.7,180.0,95.0,110.0
1229,Central,Port Phillip  Bay,2000-02-24,surface,7.1,36.0,6.1,180.0,69.0,86.0
1911,Corio,Port Phillip  Bay,2000-02-24,surface,7.5,37.0,2.5,210.0,98.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2000-02-24,surface,7.4,36.0,3.4,180.0,70.0,93.0
369,Long Reef,Port Phillip  Bay,2000-06-30,surface,9.8,36.0,6.9,470.0,210.0,240.0
1229,Central,Port Phillip  Bay,2000-06-30,surface,9.1,36.0,5.8,150.0,65.0,93.0
1911,Corio,Port Phillip  Bay,2000-06-30,surface,9.1,37.0,1.6,230.0,100.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2000-06-30,surface,9.0,34.0,4.0,230.0,70.0,82.0
369,Long Reef,Port Phillip  Bay,2000-08-20,surface,9.7,36.0,2.8,290.0,150.0,160.0
1229,Central,Port Phillip  Bay,2000-08-20,surface,8.7,36.0,1.2,120.0,57.0,60.0
1911,Corio,Port Phillip  Bay,2000-08-20,surface,9.3,37.0,2.0,190.0,99.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2000-08-20,surface,9.1,36.0,3.2,160.0,84.0,98.0
369,Long Reef,Port Phillip  Bay,2000-10-31,surface,8.2,35.0,3.0,370.0,150.0,170.0
1229,Central,Port Phillip  Bay,2000-10-31,surface,8.5,35.0,3.3,200.0,67.0,85.0
1911,Corio,Port Phillip  Bay,2000-10-31,surface,8.2,35.0,2.4,220.0,100.0,120.0
1991,Hobsons Bay,Port Phillip  Bay,2000-10-31,surface,7.5,33.0,3.7,360.0,77.0,92.0
369,Long Reef,Port Phillip  Bay,2000-11-29,surface,11.0,35.0,5.7,440.0,110.0,240.0
1229,Central,Port Phillip  Bay,2000-11-29,surface,7.4,35.0,2.0,150.0,55.0,68.0
1911,Corio,Port Phillip  Bay,2000-11-29,surface,8.4,36.0,3.1,230.0,100.0,120.0
1991,Hobsons Bay,Port Phillip  Bay,2000-11-29,surface,7.3,33.0,4.1,280.0,73.0,95.0
1229,Central,Port Phillip  Bay,2001-03-15,surface,7.6,36.0,3.6,160.0,68.0,83.0
1991,Hobsons Bay,Port Phillip  Bay,2001-03-15,surface,8.4,35.0,6.8,200.0,65.0,91.0
369,Long Reef,Port Phillip  Bay,2001-03-16,surface,7.0,37.0,5.3,190.0,89.0,110.0
1911,Corio,Port Phillip  Bay,2001-03-16,surface,7.1,38.0,3.3,260.0,110.0,130.0
369,Long Reef,Port Phillip  Bay,2001-05-23,surface,8.1,35.0,2.7,360.0,120.0,150.0
1229,Central,Port Phillip  Bay,2001-05-23,surface,7.8,36.0,1.7,160.0,60.0,80.0
1911,Corio,Port Phillip  Bay,2001-05-23,surface,8.3,36.0,2.4,240.0,93.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2001-05-23,surface,8.5,36.0,4.7,270.0,96.0,130.0
369,Long Reef,Port Phillip  Bay,2001-07-03,surface,8.3,35.0,3.3,390.0,160.0,190.0
1229,Central,Port Phillip  Bay,2001-07-03,surface,8.3,36.0,4.8,180.0,69.0,88.0
1911,Corio,Port Phillip  Bay,2001-07-03,surface,8.1,36.0,4.9,220.0,92.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2001-07-03,surface,8.1,35.0,4.1,250.0,68.0,86.0
369,Long Reef,Port Phillip  Bay,2001-07-20,surface,8.6,36.0,3.8,340.0,130.0,150.0
1229,Central,Port Phillip  Bay,2001-07-20,surface,8.4,36.0,5.6,170.0,66.0,78.0
1911,Corio,Port Phillip  Bay,2001-07-20,surface,8.4,36.0,3.3,230.0,95.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2001-07-20,surface,8.5,36.0,2.8,200.0,89.0,100.0
1229,Central,Port Phillip  Bay,2001-08-14,surface,8.8,36.0,3.8,120.0,55.0,71.0
1991,Hobsons Bay,Port Phillip  Bay,2001-08-14,surface,8.8,36.0,6.8,140.0,72.0,82.0
369,Long Reef,Port Phillip  Bay,2001-08-15,surface,8.6,35.0,1.4,320.0,180.0,190.0
1911,Corio,Port Phillip  Bay,2001-08-15,surface,8.5,36.0,1.5,190.0,98.0,110.0
369,Long Reef,Port Phillip  Bay,2001-09-06,surface,9.1,35.0,5.8,220.0,130.0,150.0
1229,Central,Port Phillip  Bay,2001-09-06,surface,8.8,36.0,4.1,160.0,140.0,150.0
1911,Corio,Port Phillip  Bay,2001-09-06,surface,8.9,36.0,3.5,170.0,90.0,100.0
1991,Hobsons Bay,Port Phillip  Bay,2001-09-06,surface,9.3,35.0,5.1,180.0,95.0,110.0
369,Long Reef,Port Phillip  Bay,2001-10-16,surface,8.2,36.0,3.0,190.0,100.0,120.0
1229,Central,Port Phillip  Bay,2001-10-16,surface,8.0,36.0,3.5,140.0,64.0,76.0
1911,Corio,Port Phillip  Bay,2001-10-16,surface,8.0,36.0,2.6,200.0,88.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2001-10-16,surface,8.0,35.0,3.1,160.0,77.0,91.0
369,Long Reef,Port Phillip  Bay,2001-11-28,surface,8.5,36.0,4.0,210.0,100.0,120.0
1229,Central,Port Phillip  Bay,2001-11-28,surface,8.4,35.0,3.7,160.0,62.0,77.0
1911,Corio,Port Phillip  Bay,2001-11-28,surface,8.8,36.0,2.6,190.0,77.0,91.0
1991,Hobsons Bay,Port Phillip  Bay,2001-11-28,surface,8.6,34.0,4.0,200.0,71.0,89.0
369,Long Reef,Port Phillip  Bay,2002-02-12,surface,8.5,36.0,6.2,180.0,84.0,100.0
1229,Central,Port Phillip  Bay,2002-02-12,surface,8.8,36.0,3.7,230.0,67.0,78.0
1911,Corio,Port Phillip  Bay,2002-02-12,surface,8.4,37.0,4.4,160.0,81.0,100.0
1991,Hobsons Bay,Port Phillip  Bay,2002-02-12,surface,8.4,33.0,5.5,450.0,74.0,98.0
369,Long Reef,Port Phillip  Bay,2002-04-23,surface,7.2,36.0,2.0,250.0,180.0,220.0
1229,Central,Port Phillip  Bay,2002-04-23,surface,7.4,36.0,3.0,170.0,67.0,82.0
1911,Corio,Port Phillip  Bay,2002-04-23,surface,7.4,37.0,4.8,200.0,84.0,100.0
1991,Hobsons Bay,Port Phillip  Bay,2002-04-23,surface,7.8,35.0,3.3,250.0,94.0,120.0
369,Long Reef,Port Phillip  Bay,2002-05-07,surface,7.6,36.0,3.2,220.0,170.0,190.0
1229,Central,Port Phillip  Bay,2002-05-07,surface,7.6,36.0,3.5,160.0,73.0,88.0
1911,Corio,Port Phillip  Bay,2002-05-07,surface,7.4,37.0,4.0,210.0,92.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2002-05-07,surface,7.6,36.0,2.6,180.0,84.0,100.0
369,Long Reef,Port Phillip  Bay,2002-08-02,surface,9.1,36.0,2.3,370.0,200.0,240.0
1229,Central,Port Phillip  Bay,2002-08-02,surface,8.7,36.0,3.9,140.0,58.0,74.0
1911,Corio,Port Phillip  Bay,2002-08-02,surface,8.6,37.0,2.2,190.0,83.0,100.0
1991,Hobsons Bay,Port Phillip  Bay,2002-08-02,surface,8.4,35.0,2.9,230.0,68.0,90.0
369,Long Reef,Port Phillip  Bay,2002-11-28,surface,7.0,37.0,4.4,200.0,84.0,110.0
1229,Central,Port Phillip  Bay,2002-11-28,surface,7.7,36.0,4.3,130.0,57.0,69.0
1911,Corio,Port Phillip  Bay,2002-11-28,surface,7.3,37.0,4.2,180.0,71.0,88.0
1991,Hobsons Bay,Port Phillip  Bay,2002-11-28,surface,6.7,34.0,5.6,260.0,82.0,110.0
369,Long Reef,Port Phillip  Bay,2003-02-04,surface,7.2,37.0,2.7,220.0,170.0,190.0
1229,Central,Port Phillip  Bay,2003-02-04,surface,7.1,37.0,1.3,150.0,58.0,73.0
1911,Corio,Port Phillip  Bay,2003-02-04,surface,7.3,38.0,1.7,180.0,81.0,96.0
1991,Hobsons Bay,Port Phillip  Bay,2003-02-04,surface,7.1,36.0,4.9,190.0,85.0,100.0
369,Long Reef,Port Phillip  Bay,2003-03-12,surface,6.9,37.0,3.7,190.0,100.0,110.0
1229,Central,Port Phillip  Bay,2003-03-12,surface,7.1,37.0,4.2,150.0,68.0,82.0
1911,Corio,Port Phillip  Bay,2003-03-12,surface,7.2,38.0,4.3,180.0,85.0,97.0
1991,Hobsons Bay,Port Phillip  Bay,2003-03-12,surface,7.0,37.0,3.4,170.0,82.0,96.0
369,Long Reef,Port Phillip  Bay,2003-03-27,surface,7.1,37.0,2.9,180.0,90.0,110.0
1229,Central,Port Phillip  Bay,2003-03-27,surface,7.3,37.0,3.5,150.0,68.0,79.0
1911,Corio,Port Phillip  Bay,2003-03-27,surface,7.3,38.0,3.1,180.0,85.0,100.0
1991,Hobsons Bay,Port Phillip  Bay,2003-03-27,surface,7.3,37.0,2.5,170.0,83.0,99.0
369,Long Reef,Port Phillip  Bay,2003-05-15,surface,8.2,35.0,,900.0,660.0,790.0
1229,Central,Port Phillip  Bay,2003-05-15,surface,7.6,36.0,2.1,100.0,68.0,70.0
1911,Corio,Port Phillip  Bay,2003-05-15,surface,7.8,38.0,1.8,200.0,93.0,120.0
1991,Hobsons Bay,Port Phillip  Bay,2003-05-15,surface,7.6,,,160.0,91.0,110.0
369,Long Reef,Port Phillip  Bay,2003-05-29,surface,8.1,37.0,3.6,180.0,140.0,160.0
1229,Central,Port Phillip  Bay,2003-05-29,surface,7.7,37.0,3.5,120.0,64.0,77.0
1911,Corio,Port Phillip  Bay,2003-05-29,surface,8.2,38.0,3.5,160.0,88.0,100.0
1991,Hobsons Bay,Port Phillip  Bay,2003-05-29,surface,7.8,36.0,4.0,140.0,69.0,83.0
369,Long Reef,Port Phillip  Bay,2003-06-25,surface,8.9,37.0,2.4,260.0,150.0,170.0
1229,Central,Port Phillip  Bay,2003-06-25,surface,8.4,37.0,4.8,120.0,34.0,75.0
1911,Corio,Port Phillip  Bay,2003-06-25,surface,8.6,38.0,1.7,210.0,100.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2003-06-25,surface,8.3,37.0,3.8,140.0,71.0,83.0
369,Long Reef,Port Phillip  Bay,2003-09-08,surface,9.8,37.0,2.2,340.0,170.0,200.0
1229,Central,Port Phillip  Bay,2003-09-08,surface,8.7,36.0,3.1,130.0,51.0,68.0
1911,Corio,Port Phillip  Bay,2003-09-08,surface,8.8,35.0,2.2,170.0,92.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2003-09-08,surface,8.8,37.0,2.8,170.0,67.0,85.0
369,Long Reef,Port Phillip  Bay,2003-12-03,surface,7.4,37.0,3.3,200.0,120.0,150.0
1229,Central,Port Phillip  Bay,2003-12-03,surface,7.6,36.0,3.0,130.0,46.0,61.0
1911,Corio,Port Phillip  Bay,2003-12-03,surface,7.4,37.0,2.5,170.0,79.0,95.0
1991,Hobsons Bay,Port Phillip  Bay,2003-12-03,surface,7.3,33.0,4.0,290.0,64.0,93.0
369,Long Reef,Port Phillip  Bay,2004-01-13,surface,7.3,37.0,2.3,180.0,70.0,89.0
1229,Central,Port Phillip  Bay,2004-01-13,surface,7.1,36.0,4.4,160.0,48.0,64.0
1911,Corio,Port Phillip  Bay,2004-01-13,surface,7.3,38.0,4.5,200.0,100.0,130.0
1991,Hobsons Bay,Port Phillip  Bay,2004-01-13,surface,7.1,34.0,4.4,230.0,40.0,90.0
369,Long Reef,Port Phillip  Bay,2004-02-04,surface,7.3,37.0,1.8,170.0,67.0,81.0
1229,Central,Port Phillip  Bay,2004-02-04,surface,7.4,37.0,2.8,140.0,49.0,61.0
1911,Corio,Port Phillip  Bay,2004-02-04,surface,6.8,38.0,6.3,200.0,100.0,120.0
1991,Hobsons Bay,Port Phillip  Bay,2004-02-04,surface,8.0,31.0,8.3,310.0,58.0,95.0
369,Long Reef,Port Phillip  Bay,2004-04-21,surface,7.4,38.0,3.6,320.0,190.0,200.0
1229,Central,Port Phillip  Bay,2004-04-21,surface,7.4,37.0,3.2,150.0,68.0,80.0
1911,Corio,Port Phillip  Bay,2004-04-21,surface,7.3,38.0,1.2,210.0,110.0,130.0
1991,Hobsons Bay,Port Phillip  Bay,2004-04-21,surface,7.4,37.0,4.5,190.0,80.0,96.0
369,Long Reef,Port Phillip  Bay,2004-07-29,surface,8.7,37.0,7.4,380.0,170.0,190.0
1229,Central,Port Phillip  Bay,2004-07-29,surface,8.7,36.0,2.4,130.0,46.0,59.0
1911,Corio,Port Phillip  Bay,2004-07-29,surface,8.6,37.0,3.9,170.0,92.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2004-07-29,surface,8.7,37.0,9.1,160.0,62.0,77.0
369,Long Reef,Port Phillip  Bay,2004-08-17,surface,8.6,37.0,3.8,310.0,140.0,160.0
1229,Central,Port Phillip  Bay,2004-08-17,surface,8.9,36.0,3.0,110.0,55.0,67.0
1911,Corio,Port Phillip  Bay,2004-08-17,surface,8.9,37.0,3.0,160.0,88.0,100.0
1911,Corio,Port Phillip  Bay,2004-08-17,surface,8.9,38.0,1.7,140.0,52.0,64.0
1991,Hobsons Bay,Port Phillip  Bay,2004-08-17,surface,9.0,35.0,5.9,220.0,86.0,110.0
369,Long Reef,Port Phillip  Bay,2004-09-30,surface,9.3,36.0,10.0,300.0,140.0,170.0
1229,Central,Port Phillip  Bay,2004-09-30,surface,8.1,36.0,2.6,130.0,50.0,67.0
1282,Dromana,Port Phillip  Bay,2004-09-30,surface,8.1,36.0,1.5,150.0,51.0,62.0
1911,Corio,Port Phillip  Bay,2004-09-30,surface,8.2,37.0,7.4,190.0,74.0,94.0
1991,Hobsons Bay,Port Phillip  Bay,2004-09-30,surface,8.4,34.0,2.9,200.0,61.0,86.0
369,Long Reef,Port Phillip  Bay,2004-10-20,surface,8.2,36.0,10.0,230.0,130.0,160.0
1229,Central,Port Phillip  Bay,2004-10-20,surface,7.9,36.0,2.6,140.0,56.0,70.0
1282,Dromana,Port Phillip  Bay,2004-10-20,surface,7.7,36.0,2.6,120.0,41.0,54.0
1991,Hobsons Bay,Port Phillip  Bay,2004-10-20,surface,7.8,32.0,2.5,250.0,57.0,76.0
1991,Hobsons Bay,Port Phillip  Bay,2004-10-20,surface,8.1,37.0,6.4,190.0,73.0,97.0
369,Long Reef,Port Phillip  Bay,2005-04-27,surface,7.4,36.0,2.5,200.0,140.0,160.0
1229,Central,Port Phillip  Bay,2005-04-27,surface,7.4,36.0,1.7,150.0,52.0,70.0
1282,Dromana,Port Phillip  Bay,2005-04-27,surface,7.4,36.0,3.8,170.0,61.0,80.0
1911,Corio,Port Phillip  Bay,2005-04-27,surface,7.2,37.0,4.4,220.0,77.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2005-04-27,surface,7.3,34.0,3.9,190.0,70.0,85.0
369,Long Reef,Port Phillip  Bay,2005-05-13,surface,8.0,36.0,2.1,200.0,110.0,130.0
1229,Central,Port Phillip  Bay,2005-05-13,surface,7.6,36.0,2.3,180.0,68.0,88.0
1282,Dromana,Port Phillip  Bay,2005-05-13,surface,7.7,36.0,7.2,150.0,43.0,55.0
1911,Corio,Port Phillip  Bay,2005-05-13,surface,7.7,37.0,5.7,210.0,81.0,99.0
1991,Hobsons Bay,Port Phillip  Bay,2005-05-13,surface,7.7,35.0,4.8,210.0,77.0,97.0
369,Long Reef,Port Phillip  Bay,2005-08-24,surface,8.6,36.0,3.6,160.0,100.0,120.0
939,Patterson River,Port Phillip  Bay,2005-08-24,surface,8.8,32.0,7.6,250.0,55.0,71.0
1229,Central,Port Phillip  Bay,2005-08-24,surface,8.6,36.0,3.3,130.0,58.0,70.0
1282,Dromana,Port Phillip  Bay,2005-08-24,surface,8.6,36.0,8.5,110.0,35.0,45.0
1911,Corio,Port Phillip  Bay,2005-08-24,surface,8.5,37.0,4.2,170.0,74.0,87.0
1991,Hobsons Bay,Port Phillip  Bay,2005-08-24,surface,8.2,34.0,5.7,200.0,59.0,76.0
939,Patterson River,Port Phillip  Bay,2005-09-01,surface,8.7,33.0,14.0,290.0,75.0,100.0
1282,Dromana,Port Phillip  Bay,2005-09-01,surface,8.8,35.0,6.7,160.0,41.0,57.0
1229,Central,Port Phillip  Bay,2005-09-02,surface,8.6,36.0,2.6,150.0,53.0,68.0
1991,Hobsons Bay,Port Phillip  Bay,2005-09-02,surface,8.7,31.0,4.5,270.0,58.0,73.0
1229,Central,Port Phillip  Bay,2005-09-23,surface,9.3,36.0,4.8,150.0,55.0,72.0
1991,Hobsons Bay,Port Phillip  Bay,2005-09-23,surface,8.9,36.0,4.8,180.0,56.0,75.0
1229,Central,Port Phillip  Bay,2005-09-27,surface,8.6,35.0,3.0,140.0,58.0,74.0
1991,Hobsons Bay,Port Phillip  Bay,2005-09-27,surface,8.5,36.0,3.9,200.0,59.0,79.0
369,Long Reef,Port Phillip  Bay,2005-10-18,surface,8.8,36.0,2.9,180.0,70.0,91.0
1229,Central,Port Phillip  Bay,2005-10-18,surface,8.2,36.0,2.6,130.0,53.0,68.0
1911,Corio,Port Phillip  Bay,2005-10-18,surface,8.3,36.0,5.3,220.0,66.0,90.0
1991,Hobsons Bay,Port Phillip  Bay,2005-10-18,surface,8.2,35.0,3.5,200.0,92.0,120.0
939,Patterson River,Port Phillip  Bay,2005-10-28,surface,9.0,34.0,4.0,240.0,73.0,96.0
1282,Dromana,Port Phillip  Bay,2005-10-28,surface,8.8,35.0,6.4,170.0,53.0,74.0
369,Long Reef,Port Phillip  Bay,2005-11-16,surface,7.4,36.0,6.6,240.0,110.0,150.0
939,Patterson River,Port Phillip  Bay,2005-11-16,surface,7.7,33.0,5.1,240.0,45.0,70.0
1229,Central,Port Phillip  Bay,2005-11-16,surface,8.1,36.0,6.0,150.0,36.0,61.0
1911,Corio,Port Phillip  Bay,2005-11-16,surface,7.5,36.0,4.0,210.0,69.0,93.0
1991,Hobsons Bay,Port Phillip  Bay,2005-11-16,surface,7.6,32.0,8.0,280.0,57.0,97.0
369,Long Reef,Port Phillip  Bay,2006-02-01,surface,6.2,37.0,6.0,270.0,170.0,200.0
939,Patterson River,Port Phillip  Bay,2006-02-01,surface,7.1,31.0,8.1,230.0,64.0,70.0
1229,Central,Port Phillip  Bay,2006-02-01,surface,7.1,36.0,7.4,150.0,49.0,72.0
1282,Dromana,Port Phillip  Bay,2006-02-01,surface,6.7,36.0,5.3,170.0,61.0,80.0
1911,Corio,Port Phillip  Bay,2006-02-01,surface,6.7,37.0,7.0,230.0,81.0,91.0
1991,Hobsons Bay,Port Phillip  Bay,2006-02-01,surface,6.8,34.0,7.7,240.0,75.0,96.0
369,Long Reef,Port Phillip  Bay,2006-06-20,surface,8.8,37.0,5.1,210.0,110.0,170.0
939,Patterson River,Port Phillip  Bay,2006-06-20,surface,8.6,36.0,3.5,150.0,78.0,120.0
1229,Central,Port Phillip  Bay,2006-06-20,surface,8.4,37.0,3.5,160.0,70.0,73.0
1282,Dromana,Port Phillip  Bay,2006-06-20,surface,8.4,36.0,5.0,140.0,55.0,73.0
1991,Hobsons Bay,Port Phillip  Bay,2006-06-21,surface,8.2,36.0,5.9,210.0,86.0,130.0
369,Long Reef,Port Phillip  Bay,2006-07-14,surface,8.8,36.0,1.5,400.0,210.0,230.0
939,Patterson River,Port Phillip  Bay,2006-07-14,surface,8.6,35.0,1.5,210.0,61.0,84.0
1229,Central,Port Phillip  Bay,2006-07-14,surface,8.5,36.0,0.5,150.0,67.0,79.0
1282,Dromana,Port Phillip  Bay,2006-07-14,surface,8.4,36.0,0.8,140.0,57.0,68.0
1991,Hobsons Bay,Port Phillip  Bay,2006-07-14,surface,8.5,35.0,2.0,200.0,74.0,85.0
369,Long Reef,Port Phillip  Bay,2007-05-12,surface,8.1,38.0,1.0,170.0,92.0,120.0
939,Patterson River,Port Phillip  Bay,2007-05-12,surface,8.0,36.0,1.7,230.0,64.0,79.0
1229,Central,Port Phillip  Bay,2007-05-12,surface,7.7,38.0,1.9,140.0,57.0,76.0
1282,Dromana,Port Phillip  Bay,2007-05-12,surface,8.0,37.0,0.8,120.0,42.0,53.0
1911,Corio,Port Phillip  Bay,2007-05-12,surface,7.7,38.0,1.9,180.0,77.0,92.0
1991,Hobsons Bay,Port Phillip  Bay,2007-05-12,surface,8.2,37.0,1.3,160.0,65.0,87.0
369,Long Reef,Port Phillip  Bay,2007-07-11,surface,9.1,37.0,5.7,,100.0,120.0
939,Patterson River,Port Phillip  Bay,2007-07-11,surface,9.1,37.0,2.6,,59.0,70.0
1229,Central,Port Phillip  Bay,2007-07-11,surface,9.0,37.0,1.1,,55.0,66.0
1282,Dromana,Port Phillip  Bay,2007-07-11,surface,8.8,37.0,2.2,,44.0,63.0
1911,Corio,Port Phillip  Bay,2007-07-11,surface,9.0,37.0,3.4,,67.0,95.0
1991,Hobsons Bay,Port Phillip  Bay,2007-07-11,surface,8.8,37.0,3.2,,58.0,68.0
369,Long Reef,Port Phillip  Bay,2007-08-23,surface,8.5,37.0,4.6,,120.0,150.0
939,Patterson River,Port Phillip  Bay,2007-08-23,surface,8.9,37.0,5.4,,52.0,70.0
1229,Central,Port Phillip  Bay,2007-08-23,surface,8.8,37.0,1.4,,52.0,63.0
1282,Dromana,Port Phillip  Bay,2007-08-23,surface,8.8,37.0,1.4,,50.0,66.0
1911,Corio,Port Phillip  Bay,2007-08-23,surface,8.7,37.0,1.2,,65.0,81.0
1991,Hobsons Bay,Port Phillip  Bay,2007-08-23,surface,8.9,36.0,2.2,,67.0,85.0
939,Patterson River,Port Phillip  Bay,2007-11-01,surface,8.0,37.0,3.6,190.0,79.0,99.0
1229,Central,Port Phillip  Bay,2007-11-01,surface,8.2,37.0,7.4,140.0,49.0,61.0
1282,Dromana,Port Phillip  Bay,2007-11-01,surface,8.1,37.0,3.2,120.0,30.0,45.0
2097,DMG (B),Port Phillip  Bay,2007-11-01,surface,8.3,37.0,3.1,140.0,44.0,67.0
2098,Middle Ground Shelf,Port Phillip  Bay,2007-11-01,surface,8.1,37.0,3.5,120.0,37.0,49.0
2099,Sorrento,Port Phillip  Bay,2007-11-01,surface,8.1,36.0,3.5,100.0,24.0,34.0
2100,Popes Eye,Port Phillip  Bay,2007-11-01,surface,8.1,36.0,2.7,94.0,11.0,24.0
369,Long Reef,Port Phillip  Bay,2007-11-09,surface,8.3,36.0,7.8,420.0,390.0,340.0
1911,Corio,Port Phillip  Bay,2007-11-09,surface,7.5,37.0,6.0,170.0,61.0,75.0
1991,Hobsons Bay,Port Phillip  Bay,2007-11-09,surface,7.7,36.0,6.3,170.0,59.0,88.0
2096,Newport,Port Phillip  Bay,2007-11-12,surface,8.6,35.0,4.3,190.0,53.0,83.0
1282,Dromana,Port Phillip  Bay,2007-11-29,surface,7.8,37.0,1.0,140.0,53.0,65.0
2098,Middle Ground Shelf,Port Phillip  Bay,2007-11-29,surface,7.9,37.0,2.0,130.0,48.0,65.0
2099,Sorrento,Port Phillip  Bay,2007-11-29,surface,7.9,36.0,1.4,120.0,28.0,47.0
2100,Popes Eye,Port Phillip  Bay,2007-11-29,surface,8.3,36.0,1.3,84.0,5.7,18.0
1911,Corio,Port Phillip  Bay,2007-12-13,surface,8.2,38.0,7.5,190.0,74.0,93.0
1991,Hobsons Bay,Port Phillip  Bay,2007-12-13,surface,8.2,36.0,9.3,180.0,70.0,91.0
2096,Newport,Port Phillip  Bay,2007-12-13,surface,8.8,34.0,8.6,250.0,63.0,95.0
2096,Newport,Port Phillip  Bay,2008-01-11,surface,6.9,36.0,4.5,210.0,63.0,100.0
1282,Dromana,Port Phillip  Bay,2008-01-22,surface,7.2,37.0,2.7,140.0,43.0,62.0
2098,Middle Ground Shelf,Port Phillip  Bay,2008-01-22,surface,7.1,37.0,1.6,130.0,43.0,59.0
2099,Sorrento,Port Phillip  Bay,2008-01-22,surface,7.2,36.0,2.3,100.0,23.0,30.0
2100,Popes Eye,Port Phillip  Bay,2008-01-22,surface,7.3,36.0,1.4,90.0,6.0,11.0
369,Long Reef,Port Phillip  Bay,2008-01-23,surface,7.1,38.0,3.6,170.0,67.0,88.0
939,Patterson River,Port Phillip  Bay,2008-01-23,surface,7.7,37.0,2.7,190.0,54.0,59.0
1229,Central,Port Phillip  Bay,2008-01-23,surface,7.4,37.0,1.5,140.0,54.0,70.0
1911,Corio,Port Phillip  Bay,2008-01-23,surface,7.6,38.0,2.5,200.0,75.0,100.0
1991,Hobsons Bay,Port Phillip  Bay,2008-01-23,surface,7.3,37.0,2.7,160.0,62.0,83.0
2097,DMG (B),Port Phillip  Bay,2008-01-23,surface,7.0,37.0,1.6,160.0,58.0,76.0
2096,Newport,Port Phillip  Bay,2008-02-13,surface,7.1,36.0,6.3,240.0,65.0,110.0
939,Patterson River,Port Phillip  Bay,2008-02-21,surface,7.7,37.0,3.4,160.0,58.0,78.0
1282,Dromana,Port Phillip  Bay,2008-02-21,surface,7.5,37.0,2.5,160.0,53.0,71.0
2098,Middle Ground Shelf,Port Phillip  Bay,2008-02-25,surface,7.3,37.0,2.5,150.0,38.0,76.0
2099,Sorrento,Port Phillip  Bay,2008-02-25,surface,7.3,37.0,1.8,120.0,30.0,46.0
2100,Popes Eye,Port Phillip  Bay,2008-02-25,surface,7.4,37.0,1.6,120.0,40.0,53.0
369,Long Reef,Port Phillip  Bay,2008-02-27,surface,7.8,38.0,1.6,160.0,61.0,88.0
1229,Central,Port Phillip  Bay,2008-02-27,surface,7.4,37.0,2.1,160.0,56.0,79.0
1911,Corio,Port Phillip  Bay,2008-02-27,surface,7.6,38.0,3.6,200.0,75.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,2008-02-27,surface,7.9,36.0,3.6,190.0,65.0,96.0
2097,DMG (B),Port Phillip  Bay,2008-02-27,surface,7.6,37.0,2.1,150.0,54.0,77.0
1282,Dromana,Port Phillip  Bay,2008-03-12,surface,7.1,37.0,1.5,150.0,48.0,65.0
369,Long Reef,Port Phillip  Bay,2008-03-19,surface,7.3,38.0,3.2,210.0,88.0,120.0
939,Patterson River,Port Phillip  Bay,2008-03-19,surface,7.4,38.0,2.0,170.0,60.0,82.0
